product_id,name,category,subcategory,price,cost,stock_quantity,supplier,created_date
60,Expanded bottom-line Graphical User Interface,Books,Children,41.5,32.83,339,Kemp Ltd,2024-01-27
61,Streamlined clear-thinking knowledgebase,Electronics,Wearables,824.38,658.68,627,Swanson LLC,2023-03-11
62,Realigned multi-state function,Electronics,Audio,1846.5,1296.68,835,Mayer LLC,2022-02-14
63,Open-architected incremental superstructure,Home & Garden,Decor,201.13,125.11,223,Stevens-Rodriguez,2024-04-05
64,Digitized multimedia interface,Electronics,Smartphones,110.1,59.71,177,"Smith, Hays and Velez",2023-01-07
65,Mandatory regional implementation,Electronics,Gaming,2128.16,1345.73,675,Sellers Ltd,2024-03-29
66,Sharable modular productivity,Electronics,Audio,2360.35,1808.12,589,"Charles, Meadows and Thomas",2022-09-15
67,Inverse real-time database,Electronics,Gaming,311.13,170.82,111,Allen Ltd,2024-07-30
68,Advanced cohesive pricing structure,Home & Garden,Decor,688.02,485.79,60,"Davis, Allen and Kane",2024-01-28
69,Cross-platform interactive pricing structure,Books,Fiction,14.52,10.11,225,"Mitchell, Harper and Bean",2023-11-16
70,Multi-layered bottom-line secured line,Clothing,Women,75.78,52.74,479,"Santana, Parker and Smith",2023-06-26
71,Robust didactic challenge,Electronics,Audio,2272.13,1431.59,950,Joseph LLC,2024-03-04
72,Upgradable neutral Graphic Interface,Clothing,Women,131.82,82.45,366,Drake PLC,2022-04-05
73,Ameliorated neutral extranet,Home & Garden,Kitchen,329.37,258.46,389,White-Watkins,2022-03-05
74,Expanded impactful access,Electronics,Laptops,2206.68,1199.65,255,"Williams, Weaver and Sanders",2022-09-07
75,Enterprise-wide client-driven approach,Clothing,Kids,218.46,134.13,93,Mathis-Hansen,2023-02-23
76,Streamlined value-added initiative,Clothing,Kids,157.34,97.95,105,Young Inc,2024-01-01
77,Customizable leadingedge open system,Books,Academic,50.56,35.44,848,Johnson Group,2022-09-29
78,Cross-platform human-resource hierarchy,Books,Children,96.5,68.02,154,Franklin Group,2023-03-03
79,Sharable holistic implementation,Home & Garden,Decor,351.65,224.93,960,"Pham, Hebert and Walter",2022-06-23
80,Multi-layered reciprocal parallelism,Home & Garden,Decor,170.96,97.28,672,Brown LLC,2024-01-08
81,Synergistic demand-driven groupware,Sports,Outdoor,193.2,125.88,106,"Martin, Lewis and Reed",2022-10-28
82,Persevering empowering approach,Home & Garden,Furniture,860.29,452.78,701,Hodge-Bullock,2022-04-22
83,Re-contextualized upward-trending time-frame,Electronics,Gaming,2191.97,1248.22,205,Rogers-Ryan,2023-12-10
84,Robust content-based installation,Home & Garden,Outdoor,982.79,737.6,15,"Tyler, Schneider and Carlson",2022-01-08
85,Re-contextualized demand-driven function,Clothing,Kids,116.19,80.24,193,Williams LLC,2022-11-06
86,Switchable 4thgeneration array,Sports,Team Sports,526.89,393.14,789,Cameron-Koch,2024-09-12
87,Fundamental disintermediate neural-net,Home & Garden,Outdoor,112.2,82.01,257,"Martinez, Barber and Klein",2023-09-07
88,Secured neutral artificial intelligence,Electronics,Smartphones,1739.76,1390.7,323,Cook Ltd,2023-12-10
89,Triple-buffered high-level methodology,Electronics,Wearables,2467.61,1907.01,370,Vargas-Costa,2024-06-30
90,Multi-channeled neutral system engine,Electronics,Gaming,494.93,309.29,364,James-Rivera,2023-09-01
91,Self-enabling clear-thinking middleware,Books,Fiction,102.42,69.42,186,Tyler-Stewart,2023-03-25
92,Digitized demand-driven software,Books,Children,66.97,37.42,140,"Fisher, Kelly and Castillo",2024-10-19
93,Configurable responsive matrices,Electronics,Laptops,482.46,256.28,740,Johnson Group,2022-03-10
94,Stand-alone responsive service-desk,Sports,Team Sports,76.71,39.17,736,Blackwell-Short,2024-07-21
95,Face-to-face full-range methodology,Sports,Team Sports,614.1,353.7,313,Davis Ltd,2024-02-08
96,Progressive 4thgeneration core,Electronics,Audio,1874.44,1440.67,334,Lowe-Robinson,2022-09-20
97,Optimized executive throughput,Electronics,Smartphones,2408.78,1758.97,911,Lee-Bush,2023-10-17
98,Secured zero-defect hardware,Clothing,Accessories,18.22,12.58,430,"Martin, Smith and Smith",2024-10-03
99,Integrated responsive Graphic Interface,Clothing,Women,266.39,165.44,503,Roy-Norris,2022-12-07
100,Distributed grid-enabled projection,Home & Garden,Outdoor,966.01,622.88,807,"White, Juarez and Olson",2024-02-10
101,Stand-alone regional hardware,Clothing,Accessories,155.64,101.5,216,Baker PLC,2023-11-13
102,Front-line tangible secured line,Clothing,Kids,279.96,187.98,508,Moore-Mccormick,2023-05-02
103,Upgradable 3rdgeneration software,Sports,Cycling,571.18,355.63,461,Mccall LLC,2022-02-22
104,Compatible secondary portal,Books,Fiction,63.82,42.43,468,Davis LLC,2024-05-21
105,Organic 24hour productivity,Books,Children,18.63,14.34,987,"Myers, Chavez and Moore",2023-10-01
106,Innovative regional projection,Clothing,Women,64.79,48.79,649,"Rodriguez, Rice and Moreno",2024-08-16
107,Upgradable directional groupware,Electronics,Audio,1956.78,1317.48,700,"Jones, Campos and Porter",2023-03-10
108,Devolved composite task-force,Home & Garden,Decor,123.41,95.86,564,Reeves Ltd,2024-05-16
109,Mandatory asynchronous attitude,Clothing,Women,296.46,188.4,918,Fletcher-Pratt,2022-10-05
110,Horizontal well-modulated flexibility,Electronics,Wearables,1948.39,1405.39,774,"Howell, Pierce and Miller",2024-01-16
111,Horizontal user-facing artificial intelligence,Home & Garden,Furniture,521.94,302.51,152,Singh and Sons,2023-07-25
112,Extended responsive artificial intelligence,Electronics,Audio,1451.89,868.39,218,Hall PLC,2022-04-04
113,Intuitive global superstructure,Home & Garden,Decor,850.77,643.02,566,"Ruiz, Valentine and Wilson",2022-07-09
114,Synchronized mobile knowledgebase,Electronics,Gaming,1957.26,1032.38,641,Macias PLC,2022-03-23
115,Seamless mission-critical concept,Clothing,Women,37.61,29.46,697,"Miller, Sanford and Holmes",2022-01-17
116,Vision-oriented multimedia projection,Home & Garden,Decor,383.79,223.06,616,Ramos-Gibson,2023-11-23
117,Team-oriented modular hierarchy,Electronics,Gaming,949.95,709.18,911,Andrews LLC,2024-10-16
118,Inverse intangible interface,Home & Garden,Kitchen,830.84,426.99,471,Freeman-Young,2023-02-13
119,Implemented intermediate strategy,Sports,Team Sports,384.32,264.38,205,"Garza, Alexander and Schroeder",2022-06-15
120,Assimilated 3rdgeneration methodology,Clothing,Women,94.0,48.78,555,"Hayes, West and Gamble",2024-05-01
121,Virtual explicit attitude,Electronics,Smartphones,737.38,427.71,700,Garcia PLC,2024-02-07
122,Universal zero administration function,Electronics,Wearables,1049.14,539.79,106,"Davis, Carpenter and Dennis",2023-09-27
123,Enhanced user-facing complexity,Electronics,Laptops,1014.89,602.01,65,Weber Inc,2023-01-09
124,Multi-tiered empowering time-frame,Electronics,Smartphones,2220.28,1319.34,756,Henderson-Craig,2022-09-22
125,Extended systemic standardization,Home & Garden,Decor,218.18,143.88,50,Garcia-Jones,2022-08-15
126,Quality-focused interactive implementation,Electronics,Gaming,955.66,513.34,967,Huerta PLC,2023-11-05
127,Triple-buffered real-time orchestration,Electronics,Smartphones,354.52,269.94,690,"Taylor, Humphrey and Floyd",2023-04-24
128,Visionary well-modulated firmware,Electronics,Wearables,1002.86,743.15,519,"Francis, Gallagher and Diaz",2024-03-31
129,Seamless national benchmark,Clothing,Women,234.96,126.64,340,"Kennedy, Rosales and Ramirez",2023-01-13
130,Enhanced exuding open system,Electronics,Smartphones,2179.0,1652.85,918,Chambers-Harris,2024-10-25
131,Secured background initiative,Books,Non-fiction,108.61,60.99,283,Thomas-Daniels,2024-05-22
132,Cross-group discrete framework,Clothing,Men,81.61,50.19,325,Parsons-Kerr,2023-06-30
133,Seamless 6thgeneration monitoring,Clothing,Kids,128.49,75.33,152,"Garza, Miller and Brown",2023-11-14
134,Synchronized tangible synergy,Electronics,Gaming,403.29,235.26,420,Blair Group,2023-01-19
135,Multi-layered reciprocal superstructure,Electronics,Wearables,1006.75,654.95,68,"Morgan, Stewart and Ward",2023-04-20
136,Enhanced modular support,Home & Garden,Furniture,661.59,348.1,573,Lawson-Higgins,2023-04-10
137,Extended coherent hardware,Books,Non-fiction,37.1,27.17,437,Gonzalez-Williams,2023-11-01
138,Monitored maximized pricing structure,Electronics,Laptops,1380.2,1042.91,952,Hays-Miller,2022-07-17
139,Profound systemic capacity,Books,Academic,60.2,35.51,318,Robinson-Roberts,2023-08-08
140,Total zero-defect instruction set,Clothing,Kids,60.69,45.59,644,Wright-Johnson,2022-11-08
141,Upgradable responsive service-desk,Electronics,Gaming,689.26,537.58,509,Williams-Knight,2023-07-01
142,De-engineered bandwidth-monitored moratorium,Books,Children,51.19,39.42,864,Williams-Hartman,2022-01-05
143,Networked system-worthy standardization,Electronics,Smartphones,1195.5,608.59,458,Shelton Ltd,2022-07-25
144,Enterprise-wide 24/7 contingency,Books,Children,29.63,16.73,731,"Rodriguez, Chan and Marshall",2023-09-11
145,Virtual clear-thinking policy,Electronics,Laptops,1143.01,633.76,303,Weaver and Sons,2022-02-19
146,Total maximized hardware,Books,Children,37.61,22.82,458,Combs and Sons,2024-06-25
147,Networked systematic matrix,Clothing,Women,170.02,102.39,683,Tucker-Scott,2024-07-26
148,Managed 5thgeneration process improvement,Clothing,Women,83.56,51.01,16,Wilson and Sons,2023-10-20
149,Seamless static emulation,Electronics,Laptops,2065.73,1590.11,518,Melton Group,2024-04-05
150,Organic dedicated firmware,Clothing,Accessories,104.16,70.93,209,Dorsey-Hunt,2023-08-07
151,Open-architected local array,Clothing,Women,196.49,140.02,294,Ingram PLC,2024-03-22
152,Inverse contextually-based core,Electronics,Smartphones,652.9,372.71,991,Foley and Sons,2023-09-13
153,Team-oriented motivating core,Home & Garden,Decor,859.62,499.46,732,Villanueva Ltd,2024-07-18
154,Future-proofed interactive migration,Books,Children,83.65,60.75,208,"Wilson, Khan and Villarreal",2022-08-29
155,Future-proofed methodical Local Area Network,Home & Garden,Decor,241.74,130.86,533,"Scott, Wilson and Barker",2022-10-04
156,Managed bandwidth-monitored leverage,Electronics,Smartphones,1438.1,853.51,891,Li PLC,2024-08-16
157,Open-architected contextually-based artificial intelligence,Electronics,Audio,478.98,306.32,423,"Reyes, Jimenez and Brown",2022-07-31
158,Total discrete orchestration,Electronics,Gaming,2428.06,1347.89,599,Smith-Atkins,2024-04-19
159,Reactive discrete challenge,Electronics,Wearables,617.92,354.75,306,Green and Sons,2022-09-01
160,Organized intangible Graphic Interface,Electronics,Gaming,339.5,239.39,706,Torres PLC,2022-08-04
161,Up-sized client-server attitude,Sports,Outdoor,422.9,275.28,703,Dunlap Group,2023-10-01
162,Persistent optimizing standardization,Clothing,Women,275.29,161.82,393,Mitchell-Blair,2023-05-18
163,Diverse 3rdgeneration complexity,Clothing,Kids,143.39,78.8,270,Harvey and Sons,2022-05-18
164,Cloned demand-driven implementation,Clothing,Kids,59.21,34.73,537,Burton-Nelson,2023-11-11
165,Future-proofed multi-state function,Clothing,Men,63.26,43.16,161,Phillips-Peterson,2022-12-05
166,Vision-oriented 24hour concept,Books,Fiction,59.76,46.72,738,"Miller, Martinez and Hawkins",2023-11-03
167,Secured real-time attitude,Home & Garden,Decor,831.5,660.92,860,"Baker, Waters and Evans",2024-03-18
168,Innovative bi-directional protocol,Home & Garden,Outdoor,288.05,151.26,700,Gonzales PLC,2022-03-19
169,Horizontal 4thgeneration architecture,Sports,Fitness,66.84,47.01,375,Baker-Schneider,2023-08-20
170,Organic leadingedge instruction set,Sports,Fitness,222.08,131.25,995,"Harris, Lee and Thomas",2022-07-24
171,Persevering mobile complexity,Sports,Team Sports,795.94,490.78,667,Hubbard LLC,2023-01-24
172,Adaptive fresh-thinking definition,Clothing,Men,96.86,59.39,271,Hoover Inc,2023-11-17
173,Innovative modular time-frame,Home & Garden,Outdoor,375.58,240.9,837,Sanders-Walton,2023-11-12
174,Object-based foreground infrastructure,Sports,Fitness,701.61,503.37,210,Lee LLC,2022-10-22
175,Inverse discrete data-warehouse,Clothing,Accessories,201.4,121.41,761,"Lynch, Smith and Foster",2024-06-11
176,Networked asymmetric encoding,Sports,Outdoor,495.32,360.01,556,Gallagher-Jarvis,2022-01-20
177,Synchronized exuding neural-net,Electronics,Gaming,1833.42,1333.82,836,"Whitehead, Chase and Blair",2022-07-30
178,Triple-buffered logistical superstructure,Books,Non-fiction,77.86,55.65,295,"Ward, Savage and Hernandez",2024-10-04
179,Decentralized secondary initiative,Electronics,Audio,365.5,196.37,225,Barajas Ltd,2024-07-18
180,Profound user-facing challenge,Home & Garden,Outdoor,482.48,286.11,784,Davis Inc,2022-10-05
181,Realigned system-worthy adapter,Home & Garden,Furniture,254.83,135.21,417,Phillips-Evans,2024-06-14
182,Integrated national initiative,Clothing,Accessories,74.78,41.46,996,"Garcia, Schmidt and Cordova",2022-05-13
183,Organic object-oriented migration,Books,Academic,40.96,31.3,780,Jones-Obrien,2023-02-17
184,Diverse web-enabled portal,Clothing,Accessories,60.05,30.4,188,Sampson-Hill,2022-04-17
185,Networked bi-directional projection,Home & Garden,Decor,719.99,422.66,81,Holden-Dudley,2024-10-14
186,Realigned next generation neural-net,Home & Garden,Decor,603.96,427.82,296,"Clark, Cameron and Mitchell",2024-07-08
187,Integrated fault-tolerant frame,Home & Garden,Furniture,767.67,527.63,370,Gentry Ltd,2023-01-12
188,Down-sized holistic encryption,Electronics,Gaming,2224.91,1112.86,650,"Green, Hayes and Davenport",2024-10-10
189,Function-based asymmetric leverage,Clothing,Kids,202.63,146.31,124,"Collins, Evans and Bishop",2023-03-08
190,Managed leadingedge Local Area Network,Books,Non-fiction,46.27,28.13,434,Jackson Group,2024-04-29
191,Object-based client-server concept,Clothing,Men,152.58,110.2,790,Lyons-Brown,2022-10-30
192,Customizable analyzing migration,Sports,Fitness,750.85,387.84,322,"Tapia, Ramsey and Mccoy",2024-04-27
193,Customer-focused 3rdgeneration project,Books,Non-fiction,9.87,7.7,68,"Vaughan, Haynes and Lyons",2023-04-19
194,Future-proofed 24/7 archive,Books,Children,60.72,47.69,834,"Johnson, Vance and Brown",2024-05-25
195,Inverse bifurcated help-desk,Clothing,Men,89.76,60.2,397,"Carter, Martin and Green",2024-06-02
196,Total bandwidth-monitored utilization,Electronics,Laptops,857.49,504.58,934,Monroe PLC,2024-01-05
197,Grass-roots reciprocal ability,Sports,Team Sports,248.67,176.73,336,"Lopez, Barrett and Jones",2024-05-26
198,Vision-oriented regional function,Electronics,Gaming,544.08,295.32,955,Bruce-Gilbert,2022-11-25
199,Mandatory high-level system engine,Clothing,Men,55.16,28.56,655,"Walker, Mendez and Juarez",2023-10-17
200,Customer-focused holistic focus group,Books,Children,17.64,11.35,940,Gonzalez and Sons,2023-06-07
